from;to;distance
Находка;42.83788506842105,132.4387341657895;92491.129
Находка;42.66389309565218,131.12242706086957;330253.352
Находка;43.04639515897436,131.81573587179489;224493.138
Находка;42.79254911071428,132.81151865714284;23742.686
Находка;42.88794100416667,132.7196311041667;43228.224
Находка;42.85339509999999,132.77630838846156;27534.71
Находка;42.65575169534884,131.1241862209302;330625.553
Находка;42.759341547058824,132.8120615852941;28258.627
Находка;43.217071273076925,132.18402468846153;160599.534
Находка;42.73323949636363,133.21130739636365;31342.07
Находка;42.984895474509806,131.48829371372548;290900.618
Находка;42.60361216153846,130.86639996923077;null
Находка;42.84345949078945,132.58131757631577;53946.837
Находка;42.88002846712329,132.43474083287666;90898.637
Находка;42.84912642745099,132.43863425686274;91845.452
Находка;42.94309828947369,131.82749298947365;219310.304
Находка;43.14494261666666,132.05640198333333;176366.589
Находка;43.21954441111111,132.19872436111112;159478.116
Находка;42.638219932,131.1292553;333007.494
Находка;43.11672066499999,132.02704641000003;182362.063
Находка;42.798516886842116,132.47082762105268;null
Находка;42.79462576666667,133.01760007222222;10473.461
Находка;42.78684946666666,132.90240008;31304.26
Находка;43.08860826111111,132.32856541666663;84668.239
Находка;42.654450983333334,131.21546644444444;null
Находка;42.84471879166667,131.38970467500002;303496.906
Находка;42.95903986363636,131.85059981818182;218149.393
Находка;43.229220028571426,132.22103958214285;160090.8
Находка;43.07025703695651,132.29885239565215;82528.063
Находка;43.111533550000004,131.8716042111111;193458.455
Находка;43.26426655483872,132.2568653483871;152297.455
Находка;42.88795616428571,132.72775993214282;43807.318
Находка;42.867885311538465,132.31323257307693;82984.968
Находка;42.87440828103447,132.4393806948276;90791.938
Находка;42.6375177451613,131.12482310645163;332847.675
Находка;43.16141191428572,132.32784623571428;94955.186
Находка;42.66032262352942,131.12192396470587;330230.491
Находка;42.676605454999994,131.24140894499996;null
Находка;43.2493044076923,132.2498876038462;154222.689
Находка;42.752465120000004,133.24201524666668;31431.968
Находка;42.82326817391304,132.44683410869564;92891.358
Находка;42.85971843529413,132.34234967941174;82520.904
Находка;42.848965958974354,132.77579692820512;26935.527
Находка;42.89585165636362,132.5186405109091;53154.428
Находка;42.82976182380951,132.40204104523812;94612.956
Находка;42.857233484615385,132.32477187692302;82847.002
Находка;42.86182432333335,132.5678916666667;55710.021
Находка;43.03104121785714,131.89607508928574;200344.786
Находка;42.96580335999999,131.90328508000002;211589.991
Находка;42.66549771666667,130.85651388333332;348507.066
Находка;43.229843249999995,132.22755682272728;161327.772
Находка;42.831587014492776,132.44006222753615;92839.276
Находка;42.85253567575759,132.31747417121213;83582.722
Находка;43.19338316216215,131.91721696216217;182893.733
Находка;42.715212855263154,133.20006771842108;30311.698
Находка;42.87409117999999,132.70733504800003;43162.463
Находка;42.860562228,132.363555816;83170.017
Находка;42.82673239687501,132.44398495625;92891.358
Находка;42.80680031935485,132.47524984999995;null
Находка;42.986456275675664,131.7541255648649;225911.939
Находка;42.80147930882353,132.91085598676472;31828.86
Находка;43.07915789545455,131.90504986590912;196344.48
Находка;42.955783278571424,131.8318798;219395.769
Находка;43.30903646363637,131.86584790454546;179047.905
Находка;43.267146422580645,132.020347683871;173057.653
Находка;42.87238310333335,132.30172387000002;83836.953
Находка;42.845955707317074,132.32627058780488;84597.595
Находка;42.84592608035714,132.77274155000003;28101.384
Находка;42.85160274074073,132.5713065;54440.391
Находка;43.2326740840909,131.98370097954543;176325.132
Находка;42.81571451538462,132.45306434102565;null
Находка;42.86071645333333,132.33159384999996;82924.391
Находка;43.122016771428584,132.03282593571424;182005.665
Находка;42.86740536785713,132.2990352017857;83714.924
Находка;42.866360771794874,132.31808203333335;82447.745
Находка;42.63550905599999,131.134678156;333633.321
Находка;42.93266847894737,131.82558435263158;222709.098
Находка;42.728828985294115,133.02422913235296;27301.995
Находка;42.85027449166666,132.4423808027778;91845.452
Находка;42.86233444583333,132.5640764791667;56180.997
Находка;43.104865208333344,131.8653518375;195173.253
Находка;42.89029393846153,132.516898076923;53743.202
Находка;42.61000718965517,131.14922796206895;337745.08
Находка;42.80095159393941,132.4735079939394;null
Находка;43.07378176666666,131.95875338333335;190931.355
Находка;43.27343812352942,132.34957004117646;120373.328
Находка;43.02130283636363,131.80211963939396;227104.523
Находка;43.04134355102039,131.7960441142857;226173.907
Находка;42.85671834814815,132.55488672592594;57103.806
Находка;42.87606513499999,132.29391624;84917.879
Находка;42.88881557586206,132.7110739862069;41586.841
Находка;42.913642885,131.37887024999995;305131.597
Находка;42.94386935454545,131.84759695454542;218860.518
Находка;42.937688146153846,131.82547438461538;222312.851
Находка;42.77442230799999,133.313268224;33914.198
Находка;42.70257675555555,133.1686053027778;30574.69
Находка;43.25902284782609,132.25643512608696;152557.209
Находка;42.72610289166668,133.2003029125;29739.013
Находка;43.049343356603764,132.31686954339625;80431.255
Находка;42.85996671785715,132.33840953214286;82890.411
Находка;42.81190766666667,132.45813361428574;null
Находка;43.13126753043479,132.04358569565218;178161.534
Находка;42.86930332187501,132.44950467812504;90787.366
Находка;42.62216637619048,131.1296524047619;335800.209
Находка;42.83235454705882,132.40566859999998;94206.27
Находка;42.8425949,132.57053461842108;55198.326
Находка;42.813409188571434,132.45420251142855;null
Находка;43.231781579166665,131.97977892500003;176241.227
Находка;42.712097589285705,133.199216875;30196.878
Находка;43.23588733461539,132.22959012307695;161743.209
Находка;43.229391321428565,131.97551402142855;176318.198
Находка;42.795983624,132.4671828;null
Находка;42.852825178787874,132.44734080909095;91041.351
Находка;42.80273525714284,132.4541788392857;null
Находка;42.871273797142855,132.44637535428575;90787.366
Находка;43.0804337,131.96927035384616;191290.16
Находка;42.859497904,132.33493174799997;83181.9
Находка;42.854054936000004,132.69409659999997;47394.467
Находка;42.60881479285714,130.93186473571424;null
Находка;42.745005035000005,133.04215925;24325.049
Находка;42.89342904333331,132.73343211;44015.644
Находка;42.87506621874999,132.299553925;84083.273
Находка;43.25556359333333,132.25275198666668;152878.379
Находка;42.84993353260871,131.41286357608698;304429.861
Находка;42.82109158125,132.43939443124998;92891.358
Находка;42.92765587499999,132.4489471666667;58101.948
Находка;42.80866604117647,132.47210892941175;null
Находка;42.573453665,131.167437;343591.546
Находка;42.80940590000001,132.9879981777778;1111.54
Находка;42.80629266176471,132.4486887617647;null
Находка;43.29248385333334,132.34755954666667;122293.782
Находка;42.72378361666666,133.20180494999997;30128.621
Находка;42.96733451874999,131.798953425;223054.986
Находка;42.844650341666664,132.32403168333332;84455.027
Находка;43.11350672,132.02142764;183456.625
Находка;42.9943657,132.300143825;74335.541
Находка;42.8234559,132.43631969999998;92891.358
Находка;43.26416857500001,131.97660228125;173166.33
Находка;43.12357419333333,132.03601075;182005.665
Находка;43.128669656250004,132.0421721875;178418.63
Находка;43.22707703076923,132.21883335384615;160076.643
Находка;43.176059099999996,132.09744145652172;170644.121
Находка;42.87053305882352,131.43359651911766;305786.63
Находка;42.978051429999994,131.77168312;225177.647
Находка;42.87459053333333,131.45619077777778;308222.982
Находка;43.32362904615385,131.8264858076923;179178.735
Находка;42.65215867999999,131.21837443;null
Находка;42.706865115999996,133.18786206400003;30825.693
Находка;42.845999215384616,132.56553880384615;55316.461
Находка;43.13938991818182,132.05018356363635;177010.79
Находка;42.8617783347826,132.56229748260867;56314.699
Находка;42.89499946818183,132.30158999545455;80550.155
Находка;42.85882487894737,132.32861262105268;82623.102
Находка;43.054757650000006,131.80969376874998;null
Находка;42.855965744444454,132.31696265833332;null
Находка;43.10580627894738,131.86933507894742;null
Находка;42.84052069333333,132.57350402;null
Находка;42.87050596153846,132.29943901538462;null
Находка;43.21662080952381,131.94594788095242;null
Находка;43.140422191666666,132.05125282500003;null
Находка;42.819789457692316,132.44982000384618;null
Находка;42.70441155199999,133.18888746800002;null
Находка;43.002589325,131.9267260083333;null
Находка;42.8772068076923,132.29247956923078;null
Находка;42.8729753,132.70261593636366;null
Находка;42.86195368148147,132.3159962296296;null
Находка;42.80492533157894,132.47628852105265;null
Находка;42.85880304545455,132.31567018636366;null
Находка;43.05248765416667,132.3142157791667;null
Находка;43.12773978666667,132.04043246;null
Находка;42.675716022222225,131.24416943333333;null
Находка;43.26740182222223,132.2568854222222;null
Находка;42.9462761375,131.4741116125;null
Находка;42.83492923953489,132.44080261395348;null
Находка;43.282971530769224,132.35298549230768;null
Находка;42.80232583333333,132.4755489;null
Находка;42.795836544000004,132.458779828;null
Находка;43.02411587692307,131.80483516923078;null
Находка;42.82702064736843,132.39898385263157;null
Находка;43.22689196428571,132.21716039999998;null
Находка;42.633705918181825,130.79473071818182;null
Находка;42.828030995238095,132.40069175238096;null
Находка;42.85483548333334,131.42117754583336;null
Находка;42.80280738235295,132.9106187470588;null
Находка;43.06004863636363,131.8486533818182;null
Находка;42.79525968181818,132.4649855454545;null
Находка;43.27661432,132.041790965;null
Находка;43.04461027894737,132.31680645789473;null
Находка;42.87606847826087,131.4433053043478;null
Находка;42.803773969999995,132.47661974749997;null
Находка;42.87412327727272,131.44177166818187;null
Находка;42.74787295238093,133.2292925952381;null
Находка;42.80356615000001,132.91123264375;null
Находка;42.868804250000004,132.29736955833332;null
Находка;43.06191989285714,131.8068046857143;null
